Shell_Label,Shell_Part,Shell_N1,Shell_N2,Shell_N3,Shell_N4
9571438,5,37740902,37740974,37740975,37740903
9571439,5,37740903,37740975,37740976,37740904
9571440,5,37740904,37740976,37740977,37740905
9571441,5,37740905,37740977,37740978,37740906
9571442,5,37740906,37740978,37740979,37740907
9571443,5,37740907,37740979,37740980,37740908
9571444,5,37740908,37740980,37740981,37740909
9571445,5,37740909,37740981,37740982,37740910
9571446,5,37740910,37740982,37740983,37740911
9571447,5,37740911,37740983,37740984,37740912
9571448,5,37740912,37740984,37740985,37740913
9571449,5,37740913,37740985,37740986,37740914
9571450,5,37740914,37740986,37740987,37740915
9571451,5,37740915,37740987,37740967,37740895
9571504,5,37740967,37741039,37741040,37740968
9571507,5,37740971,37741043,37741044,37740972
9571508,5,37740972,37741044,37741045,37740973
9571509,5,37740973,37741045,37741046,37740974
9571510,5,37740974,37741046,37741047,37740975
9571511,5,37740975,37741047,37741048,37740976
9571512,5,37740976,37741048,37741049,37740977
9571513,5,37740977,37741049,37741050,37740978
9571514,5,37740978,37741050,37741051,37740979
9571515,5,37740979,37741051,37741052,37740980
9571516,5,37740980,37741052,37741053,37740981
9571517,5,37740981,37741053,37741054,37740982
9571518,5,37740982,37741054,37741055,37740983
9571519,5,37740983,37741055,37741056,37740984
9571520,5,37740984,37741056,37741057,37740985
9571521,5,37740985,37741057,37741058,37740986
9571522,5,37740986,37741058,37741059,37740987
9571523,5,37740987,37741059,37741039,37740967
9571576,5,37741039,37741111,37741112,37741040
9571579,5,37741043,37741115,37741116,37741044
9571580,5,37741044,37741116,37741117,37741045
9571581,5,37741045,37741117,37741118,37741046
9571582,5,37741046,37741118,37741119,37741047
9571583,5,37741047,37741119,37741120,37741048
9571584,5,37741048,37741120,37741121,37741049
9571585,5,37741049,37741121,37741122,37741050
9571586,5,37741050,37741122,37741123,37741051
9571587,5,37741051,37741123,37741124,37741052
9571588,5,37741052,37741124,37741125,37741053
9571589,5,37741053,37741125,37741126,37741054
9571590,5,37741054,37741126,37741127,37741055
9571591,5,37741055,37741127,37741128,37741056
9571592,5,37741056,37741128,37741129,37741057
9571593,5,37741057,37741129,37741130,37741058
9571594,5,37741058,37741130,37741131,37741059
9571595,5,37741059,37741131,37741111,37741039
9571648,5,37741111,37741183,37741184,37741112
9571651,5,37741115,37741187,37741188,37741116
9571652,5,37741116,37741188,37741189,37741117
9571653,5,37741117,37741189,37741190,37741118
9571654,5,37741118,37741190,37741191,37741119
9571655,5,37741119,37741191,37741192,37741120
9571656,5,37741120,37741192,37741193,37741121
9571657,5,37741121,37741193,37741194,37741122
9571658,5,37741122,37741194,37741195,37741123
9571659,5,37741123,37741195,37741196,37741124
9571660,5,37741124,37741196,37741197,37741125
9571661,5,37741125,37741197,37741198,37741126
9571662,5,37741126,37741198,37741199,37741127
9571663,5,37741127,37741199,37741200,37741128
9571664,5,37741128,37741200,37741201,37741129
